PG/Hostel Name,Area,Distance from Kondhwa campus (in km),Distance from Bibwewadi campus (in km),Rent (₹/month) app.,Deposit (₹),Sharing Type,Occupant Type (M/F),Food Included,Wi-Fi Speed (Mbps),AC,Curfew,Amenities,Source,Contact,
Stanza Living: Austin House,"Somji, near D-Mart",1.1,3.54,13599,10000,Single/Double,Any,Yes,10 mbps,No,No,"Attached Washroom, Spacious Cupboard, Hot and Delicious Meals, High-Speed WIFI, Laundry Service, Professional Housekeeping, Spacious Refrigerator, Washing Machine, 24x7 Security Surveillance, Water Purifier, Flat Screen Television",https://www.stanzaliving.com/pune/pg-in-kondhwa/co_ed/austin-house,                                                81938 16585,
Casa Living: Iris House,Betal Nagar,0.65,2.89,6500-9000,One Month,Double/Triple,Female,Optional,~10 mbps,No,10:00 PM,"Furnished Rooms, Laundry Services, Housekeeping, High-Speed Wi-Fi, Modern Kitchen Appliances, Gaming & Entertainment Zone, Full CCTV Surveillance, 24×7 Security & Residential Manager",https://thecasaliving.com/house/5/,                                                70306 28787,
Stanza Living: Juliaca House,"Yewalewadi,Kondhwa",3,5.5,8799,1-3 month,Double/Triple,Male,Yes,10 mbps,No,No,"Attached Washroom, Spacious Cupboard, Hot & Delicious Meals, High-Speed Wi-Fi, Laundry Service, Professional Housekeeping, Spacious Refrigerator, Washing Machine, 24×7 Security Surveillance, Water Purifier, Flat Screen Television",https://www.stanzaliving.com/pune/pg-in-kondhwa/male/juliaca-house,                                  93550 03787,
My Happy Home A,Mallik Nagar,1.2,2.25,10800 - 12100,5000,Triple/Quadruple,Male,Yes,,No,10:00 PM,,,"Mb. : 8431352604 , 8208553910)",
Studious Girls Hostel,Kondhwa,0.85,2.9,7500-8300,2000,Double/Triple,Female,No,NA,No,9:30 PM,"Study Lobby, Dining Area, Pure Veg Mess, Carrom, Foosball, Table Tennis, Wi-Fi, Washing Machine, Fire Extinguisher, Lady Guard, CCTV Surveillance, Solar Water, Generator Backup, Housekeeping",https://studioushostelpune.com/,7277272244,
Swami Krupa Boys Hostel,Hagawane Nagar Rd,0.8,2.9,10800,65000/sem,Double,Male,Yes,60-70 mbps,No,11:00 PM,"Mess Facility, Washing Machines (2), Personal Cupboard, High-Speed WiFi, 24/7 Security Surveillance, Water Purifier, Refrigerator for Drinks, Table Tennis & Indoor Games, Geyser, Study Table",Friend,,
Homies' Living Sapphire,Betal Nagar,0.3,,5830 - 7500,10000,Double,Male,On Demand,Not mentioned,No,10:30: PM,"High-speed wifi, CCTV, 24/7 Security guard, Common fridge, Common hangout area, Common TV, Common Washing machine, Common terrace, Kitchen, Parking, Power Backup, Central Wi-Fi, Indoor Games, Electricity Backup",Friend,                                                   95116 90732,
Sharvil Bungalow,Yashodhan society lane ,0.75,2.8,6250,5000,Double/Triple/Quadruple,Female,,,No,9:30 PM,"Washing Machine, Hot & Cold Water Filter, Geyser, Wi-Fi, Induction Cooktop, Power Backup",Friend,,
Alchemy Living,"Kapil Nagar, Kondhwa",0.95,3,10000,10000,Single,Male,Yes,,No,11:30 PM,Laundry,Friend,,
Shree Gajanan Boys Hostel,Shatrunjay Nagar,1.4,2.4,11200,10000,Triple,Male,Yes,~36 mbps,No,10:30 PM,"Washing Machine, Induction Cooktop, Electric Kettle, Iron",Friend,                                                80871 06227,
